iter	Passed	Remaining
369	594	1012
370	595	1009
371	596	1007
372	597	1005
373	598	1002
374	599	999
375	600	997
376	601	994
377	602	991
378	603	989
379	604	986
380	605	984
381	606	981
382	607	979
383	609	976
384	610	974
385	611	972
386	612	969
387	613	967
388	614	964
389	615	962
390	616	959
391	617	957
392	618	955
393	619	953
394	620	950
395	622	949
396	623	946
397	624	944
398	625	942
399	626	939
400	627	937
401	628	934
402	629	932
403	630	930
404	631	927
405	632	925
406	633	922
407	634	920
408	635	918
409	637	916
410	638	914
411	639	912
412	640	909
413	641	907
414	642	905
415	643	903
416	644	900
417	645	898
418	646	896
419	647	894
420	649	892
421	650	890
422	651	888
423	652	886
424	653	884
425	654	882
426	655	880
427	656	877
428	657	875
429	658	873
430	659	871
431	661	869
432	663	868
433	664	866
434	665	864
435	666	861
436	667	859
437	668	857
438	669	855
439	670	853
440	671	851
441	672	849
442	673	847
443	674	845
444	676	843
445	677	841
446	678	839
447	679	837
448	680	835
449	681	832
450	682	830
451	683	828
452	684	826
453	685	824
454	686	822
455	688	820
456	689	819
457	690	817
458	691	815
459	692	813
460	694	811
461	695	809
462	696	807
463	697	805
464	698	803
465	699	801
466	700	799
467	701	797
468	702	795
